Timestamp,What is your age?,What is your gender?,What is your monthly salary?,Whit is your civil status?,What is your working experience?,What is your company's working arrangement?,Choose one response [My job made me feel angry.],Choose one response [My job made me feel anxious.],Choose one response [My job made me feel at ease.],Choose one response [My job made me feel bored.],Choose one response [My job made me feel calm.],Choose one response [My job made me feel content.],Choose one response [My job made me feel depressed.],Choose one response [My job made me feel discouraged.],Choose one response [My job made me feel disgusted.],Choose one response [My job made me feel ecstatic.],Choose one response [My job made me feel energetic.],Choose one response [My job made me feel enthusiastic.],Choose one response [My job made me feel excited.],Choose one response [My job made me feel fatigued.],Choose one response [My job made me feel frightened.],Choose one response [My job made me feel furious.],Choose one response [My job made me feel gloomy.],Choose one response [My job made me feel inspired.],Choose one response [My job made me feel relaxed.],Choose one response [My job made me feel satisfied.]
2022/07/13 12:31:12 PM GMT+5:30,31 - 40 years,Female,"< Rs.100,000",Married,2- 5 years,Physical,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Quite often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Never,Extremely often,Sometimes,Extremely often
2022/07/13 12:34:05 PM GMT+5:30,20 - 25 years,Male,"< Rs.100,000",Single,2- 5 years,Physical,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely
2022/07/13 1:09:23 PM GMT+5:30,20 - 25 years,Male,"< Rs.100,000",Single,2- 5 years,Physical,Rarely,Rarely,Extremely often,Never,Rarely,Never,Never,Never,Never,Never,Extremely often,Extremely often,Extremely often,Never,Never,Never,Never,Extremely often,Extremely often,Extremely often
2022/07/13 1:10:34 PM GMT+5:30,26 - 30 years,Male,"< Rs.100,000",Single,2- 5 years,Physical,Sometimes,Sometimes,Quite often,Quite often,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Quite often,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Quite often,Sometimes
2022/07/13 3:44:54 PM GMT+5:30,20 - 25 years,Male,"Rs 100,000 - Rs 200,000",Single,< 2 years,Hybrid,Never,Rarely,Quite often,Rarely,Sometimes,Quite often,Never,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Quite often,Sometimes,Quite often
2022/07/13 2:31:03 PM GMT+5:30,26 - 30 years,Male,"< Rs.100,000",Married,< 2 years,Hybrid,Sometimes,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Rarely,Quite often,Sometimes,Sometimes,Sometimes,Sometimes
2022/07/13 4:28:16 PM GMT+5:30,26 - 30 years,Female,"Rs 100,000 - Rs 200,000",Single,< 2 years,Online,Never,Never,Extremely often,Never,Extremely often,Extremely often,Never,Never,Never,Sometimes,Extremely often,Extremely often,Extremely often,Never,Never,Never,Never,Extremely often,Extremely often,Extremely often
2022/07/13 9:48:43 PM GMT+5:30,26 - 30 years,Male,"Rs 100,000 - Rs 200,000",Single,< 2 years,Online,Rarely,Rarely,Rarely,Rarely,Quite often,Quite often,Rarely,Rarely,Never,Never,Quite often,Quite often,Sometimes,Rarely,Rarely,Sometimes,Quite often,Quite often,Quite often,Quite often
2022/07/13 9:49:35 PM GMT+5:30,26 - 30 years,Female,"Rs 200,001 - Rs 500,000",Single,< 2 years,Online,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes
2022/07/13 12:27:00 PM GMT+5:30,26 - 30 years,Male,"Rs 200,001 - Rs 500,000",Single,2- 5 years,Online,Sometimes,Sometimes,Sometimes,Quite often,Quite often,Quite often,Sometimes,Quite often,Rarely,Sometimes,Quite often,Quite often,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Quite often
